age,gender,height,weight,bmr,activity_level,total_daily_expenditure
77,M,1.7,75.0,1472.608,1.9,2797.9552
71,F,1.62,75.0,1335.564,1.55,2070.1242
55,M,1.75,83.0,1728.453,1.725,2981.581425
66,M,1.67,75.7,1529.9259,1.725,2639.122178
58,M,1.67,60.0,1364.929,1.2,1637.9148
49,M,1.8,81.0,1759.656,1.725,3035.4066
77,M,1.7,72.5,1439.1155,1.55,2230.629025
71,F,1.62,72.9,1316.1453,1.55,2040.025215
37,F,1.7,88.0,1628.33664,1.2,1954.003968
44,F,1.7,77.8,1503.70724,1.55,2330.746222
63,F,1.63,84.0,1455.16188,1.2,1746.194256
63,F,1.63,83.0,1445.91488,1.2,1735.097856
63,F,1.63,84.0,1455.16188,1.55,2255.500914
57,F,1.63,45.0,1120.50888,1.55,1736.788764
57,F,1.63,45.0,1120.50888,1.725,1932.877818
63,M,1.55,62.0,1305.51206,1.55,2023.543693
71,M,1.68,65.0,1361.31436,1.55,2110.037258
72,F,1.68,78.7,1382.92062,1.2,1659.504744
44,M,1.75,75.0,1684.86174,1.725,2906.386502
47,F,1.57,72.0,1397.74004,1.2,1677.288048
34,M,1.7,70.0,1650.16782,1.55,2557.760121
42,M,1.8,78.0,1760.76566,1.55,2729.186773
44,M,1.68,66.0,1527.72036,1.55,2367.966558
58,M,1.85,75.0,1654.28158,1.725,2853.635726
47,M,1.83,103.0,2079.54512,1.2,2495.454144
62,M,1.68,55.0,1278.34736,1.725,2205.149196
71,M,1.73,67.0,1412.48728,1.725,2436.540558
20,F,1.63,54.0,1363.94188,1.725,2352.799743
40,F,1.63,71.5,1439.16438,1.2,1726.997256
65,M,1.52,63.0,1295.3856,1.2,1554.46272
45,M,1.63,61.0,1430.68944,1.55,2217.568632
70,F,1.55,48.0,1068.35312,1.725,1842.909132
36,M,1.57,75.0,1644.87152,1.2,1973.845824
56,F,1.63,62.0,1282.03788,1.55,1987.158714
62,M,1.65,60.0,1333.1429,1.725,2299.671503
64,F,1.57,68.0,1287.14204,1.2,1544.570448
32,M,1.8,56.0,1522.70166,1.725,2626.660364
66,M,1.6,55.0,1219.11098,1.55,1889.622019
38,F,1.68,68.0,1431.19772,1.55,2218.356466
53,M,1.73,98.0,1929.80028,1.2,2315.760336
63,M,1.68,65.0,1406.65036,1.725,2426.471871
63,M,1.7,63.0,1392.04582,1.725,2401.27904
60,F,1.6,68.0,1312.33096,1.2,1574.797152
63,M,1.68,97.0,1835.35436,1.2,2202.425232
60,F,1.57,62.0,1248.98004,1.55,1935.919062
65,F,1.63,80.0,1409.51388,1.2,1691.416656
74,M,1.57,60.0,1228.57052,1.725,2119.284147
66,M,1.68,68.0,1429.84036,1.725,2466.474621
42,M,1.73,93.0,1925.15228,1.2,2310.182736
50,M,1.7,80.0,1693.46582,1.2,2032.158984
69,M,1.78,78.3,1599.5863,1.725,2759.286368
72,M,1.68,58.3,1265.88746,1.725,2183.655869
65,F,1.57,58.0,1190.34204,1.725,2053.340019
73,M,1.73,65.0,1374.35928,1.725,2370.769758
78,M,1.6,67.0,1311.87098,1.2,1574.245176
73,F,1.52,70.0,1250.9282,1.2,1501.11384
49,F,1.57,79.0,1453.80904,1.2,1744.570848
70,M,1.73,73.0,1498.53628,1.55,2322.731234
61,M,1.68,74.0,1538.55736,1.2,1846.268832
68,M,1.65,64.0,1352.7289,1.725,2333.457353
34,M,1.68,86.0,1852.33036,1.2,2222.796432
75,M,1.78,81.0,1601.7562,1.55,2482.72211
47,F,1.6,80.0,1479.58496,1.2,1775.501952
34,M,1.78,101.5,2108.7417,1.2,2530.49004
36,F,1.55,68.5,1405.13662,1.55,2177.961761
68,F,1.65,68.0,1293.4288,1.2,1552.11456
51,M,1.75,92.0,1872.94174,1.2,2247.530088
47,F,1.6,80.0,1479.58496,1.2,1775.501952
68,F,1.52,72.0,1291.0722,1.2,1549.28664
51,M,1.75,92.0,1872.94174,1.2,2247.530088
63,F,1.65,55.0,1194.8678,1.725,2061.146955
72,M,1.73,85.0,1647.96628,1.2,1977.559536
52,M,1.7,75.0,1615.14682,1.55,2503.477571
51,M,1.68,102.0,1970.34336,1.2,2364.412032
35,F,1.57,70.0,1431.20604,1.2,1717.447248
62,M,1.65,62.0,1359.9369,1.725,2345.891153
42,M,1.78,92.0,1936.1342,1.2,2323.36104
42,M,1.78,92.0,1936.1342,1.2,2323.36104
58,M,1.65,78.5,1603.6554,1.2,1924.38648
39,M,1.78,61.0,1537.8282,1.9,2921.87358
34,F,1.57,60.0,1343.06604,1.725,2316.788919
54,F,1.45,55.7,1177.35934,1.2,1412.831208
61,M,1.7,84.5,1691.41532,1.2,2029.698384
60,M,1.68,84.0,1678.19436,1.2,2013.833232
54,M,1.83,50.0,1329.83512,1.2,1595.802144
34,F,1.57,60.0,1343.06604,1.725,2316.788919
52,F,1.7,100.0,1674.35064,1.2,2009.220768
60,M,1.68,75.0,1557.62136,1.2,1869.145632
54,M,1.7,80.0,1670.79782,1.2,2004.957384
54,M,1.7,80.0,1670.79782,1.2,2004.957384
60,M,1.68,75.0,1557.62136,1.2,1869.145632
80,F,1.63,76.0,1307.57588,1.2,1569.091056
59,F,1.55,65.0,1273.18212,1.2,1527.818544
59,F,1.55,65.0,1273.18212,1.2,1527.818544
52,M,1.7,87.0,1775.91082,1.2,2131.092984
59,M,1.65,78.0,1591.2899,1.2,1909.54788
49,F,1.52,55.0,1216.1432,1.725,2097.84702
43,F,1.6,76.0,1459.91696,1.2,1751.900352
46,F,1.57,70.4,1387.27484,1.2,1664.729808
49,F,1.65,83.0,1514.4038,1.2,1817.28456
45,F,1.63,60.0,1311.17388,1.55,2032.319514
47,F,1.68,60.0,1318.25172,1.55,2043.290166
86,M,1.68,70.9,1355.35166,1.2,1626.421992
48,M,1.73,76.0,1663.40128,1.2,1996.081536
48,F,1.63,78.0,1464.62988,1.2,1757.555856
50,F,1.57,68.0,1347.76204,1.2,1617.314448
61,M,1.63,60.0,1326.62044,1.55,2056.261682
63,M,1.73,69.0,1484.61728,1.55,2301.156784
48,F,1.63,75.0,1436.88888,1.2,1724.266656
58,F,1.57,52.0,1165.17004,1.55,1806.013562
63,M,1.73,69.0,1484.61728,1.55,2301.156784
62,M,1.75,58.7,1364.48464,1.725,2353.736004
71,F,1.52,53.0,1102.3892,1.55,1708.70326
47,M,1.63,77.0,1633.70744,1.2,1960.448928
57,M,1.83,92.0,1875.50812,1.2,2250.609744
63,M,1.73,63.0,1404.23528,1.55,2176.564684
41,F,1.63,65.0,1374.72888,1.55,2130.829764
45,M,1.73,74.0,1653.60828,1.55,2563.092834
41,F,1.63,65.0,1374.72888,1.55,2130.829764
63,M,1.68,53.0,1245.88636,1.725,2149.153971
74,M,1.6,68.5,1354.63448,1.2,1625.561376
40,F,1.6,82.0,1528.38896,1.2,1834.066752
29,M,1.73,61.0,1570.11928,1.725,2708.455758
41,M,1.8,97.0,2020.97566,1.2,2425.170792
34,F,1.63,85.0,1589.97888,1.2,1907.974656
41,M,1.8,97.0,2020.97566,1.2,2425.170792
51,M,1.73,94.0,1887.54628,1.2,2265.055536
39,M,1.75,96.0,1994.53374,1.2,2393.440488
30,F,1.65,89.0,1652.1558,1.2,1982.58696
51,M,1.75,93.0,1886.33874,1.2,2263.606488
39,M,1.75,96.0,1994.53374,1.2,2393.440488
30,F,1.65,75.3,1525.4719,1.2,1830.56628
57,M,1.6,65.0,1404.08398,1.2,1684.900776
30,F,1.65,75.3,1525.4719,1.2,1830.56628
63,F,1.55,61.0,1218.87412,1.2,1462.648944
60,M,1.68,66.0,1437.04836,1.55,2227.424958
38,F,1.52,67.7,1381.2101,1.2,1657.45212
51,F,1.63,91.0,1571.85088,1.2,1886.221056
47,M,1.7,74.0,1630.08482,1.2,1956.101784
47,M,1.7,74.0,1630.08482,1.2,1956.101784
47,M,1.6,64.5,1454.05548,1.2,1744.866576
49,M,1.6,72.0,1543.19898,1.2,1851.838776
54,M,1.68,72.0,1551.43236,1.2,1861.718832
49,M,1.6,75.0,1583.38998,1.2,1900.067976
41,M,1.78,80.0,1781.0372,1.2,2137.24464
77,M,1.63,49.0,1088.58144,1.725,1877.802984
56,F,1.52,71.0,1333.7852,1.2,1600.54224
25,M,1.83,80.0,1896.08812,1.55,2938.936586
27,M,1.83,89.0,2005.32712,1.2,2406.392544
41,M,1.78,80.0,1781.0372,1.2,2137.24464
19,F,1.63,107.0,1858.36288,1.2,2230.035456
49,M,1.6,72.0,1543.19898,1.2,1851.838776
49,M,1.78,94.0,1923.2592,1.2,2307.91104
64,F,1.57,72.0,1324.13004,1.2,1588.956048
64,F,1.52,62.0,1215.9222,1.2,1459.10664
64,F,1.57,72.0,1324.13004,1.2,1588.956048
66,M,1.63,64.0,1351.87344,1.55,2095.403832
45,F,1.6,74.0,1432.76296,1.2,1719.315552
47,F,1.57,45.0,1148.07104,1.725,1980.422544
51,M,1.75,79.0,1698.78074,1.2,2038.536888
42,M,1.68,76.0,1673.02436,1.2,2007.629232
69,M,1.63,69.0,1401.85744,1.2,1682.228928
56,M,1.78,81.0,1709.4292,1.2,2051.31504
22,F,1.68,72.0,1537.46572,1.2,1844.958864
51,M,1.55,61.0,1360.11906,1.2,1632.142872
70,M,1.57,57.0,1211.04752,1.55,1877.123656
55,F,1.65,83.0,1488.4238,1.2,1786.10856
74,F,1.6,67.0,1242.46396,1.2,1490.956752
52,F,1.6,63.5,1305.2975,1.55,2023.211125
40,M,1.77,83.0,1823.056,1.725,3144.7716
47,M,1.7,74.0,1629.221,1.2,1955.0652
65,F,1.49,48.5,1076.2245,1.725,1856.487263
47,F,1.62,58.0,1282.285,1.725,2211.941625
44,M,1.77,69.0,1612.83,1.9,3064.377
54,F,1.67,68.3,1362.7091,1.9,2589.14729
70,F,1.49,47.0,1040.704,1.725,1795.2144
74,M,1.8,85.0,1671.569,1.2,2005.8828
55,M,1.72,71.0,1553.292,1.725,2679.4287
44,M,1.72,77.0,1696.011,1.55,2628.81705
36,M,1.7,68.0,1611.176,1.55,2497.3228
71,M,1.7,67.0,1399.434,1.2,1679.3208
51,M,1.8,85.0,1801.91,1.725,3108.29475
52,F,1.6,62.0,1291.427,1.55,2001.71185
69,M,1.65,62.0,1319.788,1.55,2045.6714
52,F,1.67,105.0,1710.734,1.2,2052.8808
44,M,1.7,76.0,1673.016,1.55,2593.1748
49,M,1.85,82.0,1797.048,1.725,3099.9078
36,M,1.7,67.0,1597.779,1.55,2476.55745
74,M,1.8,84.0,1658.172,1.725,2860.3467
39,M,1.75,80.4,1784.2928,1.725,3077.90508
39,M,1.8,80.4,1808.2878,1.725,3119.296455
48,M,1.7,69.5,1563.2675,1.725,2696.636438
63,M,1.7,61.5,1371.0865,1.55,2125.184075
60,F,1.6,64.5,1279.9045,1.55,1983.851975
34,M,1.77,94.5,2011.1235,1.2,2413.3482
44,M,1.7,76.0,1673.016,1.55,2593.1748
44,M,1.72,65.0,1535.247,1.9,2916.9693
