Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
north gujrat,Bajra no Rotlo,,1 piece,3.0,17.0,1.3,2.2,50,90
north gujrat,Dhokla,,1 piece,2.4,5.6,2.4,1.0,35,54
north gujrat,Methi na Gota,,1 piece,1.5,4.3,3.3,0.9,20,53
north gujrat,Gujarati Dal,,1 cup,9.5,27.3,7.6,5.0,250,213
north gujrat,Handvo,,1 piece,8.5,32.2,3.0,4.0,104,190
north gujrat,Khaman,,1 piece,2.4,5.6,2.4,1.0,35,54
north gujrat,Fafda,,1 piece,1.2,3.0,2.7,0.6,10,42
north gujrat,Thepla,,1 piece,3.0,16.6,5.4,2.6,40,126
north gujrat,Ringan no Olo,,1 cup,2.4,13.0,7.2,5.0,166,122
north gujrat,Dal Dhokli,,1 cup,11.7,40.7,9.0,7.0,250,287