Cuisines,Food item,Session consumed,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
pune Division,Sabudana Khichdi,Breakfast/Lunch,1 cup,4.00,46.10,7.60,2.50,30.33,166.00,267.00
pune Division,Puran Poli,Dessert,1 poli,3.80,29.00,4.50,2.20,20.16,75.00,172.00
pune Division,Batata Vada,Snack,1 wada,1.80,14.40,9.40,1.40,14.96,80.00,149.00
pune Division,Thalipeeth (pune Style),Breakfast/Lunch/Dinner,1 thalipeeth,4.50,21.30,5.70,4.00,33.06,80.00,151.00
pune Division,Shrewsbury Biscuits,Snack,1 biscuit,0.80,7.10,2.20,0.20,2.96,13.00,51.00
pune Division,Kaanda Bhajiya,Snack,1 pakoda,0.70,2.80,3.00,0.40,2.88,15.00,41.00
pune Division,Puneri Misal,Breakfast/Lunch,1 cup,7.70,31.10,13.50,2.70,34.21,250.00,269.00
pune Division,Pohe Chivda,Snack,1 cup,3.10,21.90,3.90,0.70,12.58,35.00,133.00
pune Division,Tambdi Bhaji,Lunch/Dinner,1 cup,5.40,11.20,5.60,5.60,493.41,166.00,116.00
pune Division,Dadpe Pohe,Breakfast/Snack,1 cup,5.30,40.10,9.00,3.90,21.32,93.00,262.00
pune Division,Pune Tambda Rassa,Lunch/Dinner,1 cup,21.50,10.70,23.00,3.10,71.13,250.00,351.00
aurangabad division ,Naan Khaliya,Lunch/Dinner,1 bowl,33.60,17.90,50.90,3.60,377.25,350.00,664.00
aurangabad division,Pune Tambda Rassa,Lunch/Dinner,1 cup,21.50,10.70,23.00,3.10,71.13,250.00,351.00
aurangabad division,Mawa Jalebi,Dessert,1 small,1.60,9.00,5.20,0.00,70.22,25.00,88.00
aurangabad division,Himayati Sheer Khurma,Dessert,1 cup,17.60,72.70,28.00,2.40,469.87,250.00,602.00
aurangabad division,Khichda,Lunch/Dinner,1 bowl,24.40,58.00,11.50,10.90,74.45,350.00,431.00
aurangabad division ,Naan Qalia,Lunch/Dinner,1 bowl,33.60,17.90,50.90,3.60,377.25,350.00,664.00
aurangabad division,Shev Bhaji,Lunch/Dinner,1 cup,4.10,14.30,18.80,3.90,43.43,216.00,242.00
aurangabad division,Baingan Bharta,Lunch/Dinner,1 cup,3.10,12.10,7.00,5.20,56.57,216.00,121.00
aurangabad division,Pithla Bhakri,Lunch/Dinner,1 cup,11.30,31.40,8.20,6.30,43.21,216.00,245.00
aurangabad division,Mutton Paya Soup without oil,Lunch/Dinner,1 cup,9.80,7.20,2.70,3.30,63.34,250.00,93.00
aurangabad division ,Dal Khichdi,Breakfast/Lunch/Dinner,1 cup,5.30,18.10,3.30,4.20,21.27,166.00,120.00
aurangabad division,Baadam Pista Milk,Drink,1 glass,8.60,23.00,13.00,0.80,286.6,250.00,240.00
aurangabad division,Bharli Mirchi,Lunch/Dinner,1 piece,1.20,3.40,3.00,1.00,9.51,11.00,46.00
aurangabad division,Aurangabad Kebab Paratha,Lunch/Dinner,1 paratha,8.00,19.80,13.10,3.30,34.21,80.00,290.00
aurangabad division,Shahi Tukda,Dessert,1 piece,5.10,23.00,7.60,0.70,158.4,80.00,177.00
amaravati division,paneer varhadi curry,Lunch/Dinner,1 bowl,19.00,17.60,26.00,5.80,278.9,350.00,376.00
amaravati division,Dal Khichdi,Breakfast/Lunch/Dinner,1 cup,5.30,18.10,3.30,4.20,21.27,166.00,120.00
amaravati division,Patodi Rassa,Lunch/Dinner,1 cup ,8.20,24.50,11.80,5.20,76.5,250.00,236.00
amaravati division,Shev Bhaji,Lunch/Dinner,1 cup,4.10,14.30,18.80,3.90,43.43,216.00,242.00
amaravati division,Puran Poli,Dessert,1 piece,0.60,64.00,2.60,7.00,55,166.00,318.00
amaravati division,Shengdana Chatni,Lunch/Dinner,1 tablespoon ,2.00,1.80,3.60,0.90,11,9.00,44.00
amaravati division,Danyachi Amti,Lunch/Dinner,1 cup,10.90,10.90,35.80,8.40,48.83,250.00,394.00
amaravati division,Sabudana Thalipeeth,Breakfast/Lunch/Dinner,1 thalipeeth,2.60,28.70,8.00,1.60,14.24,80.00,197.00
amaravati division,Varhadi Alu Vadi,Lunch/Dinner,1 piece,1.20,7.40,5.00,0.90,26.7,25.00,79.00
amaravati division,Bhalla,Snack,1 piece ,5.80,14.30,8.20,2.90,16.22,60.00,154.00
amaravati division,Kharda,Snack,1 table spoon,1.40,1.50,2.60,0.50,9.6,14.00,32.00
amaravati division,Anarsa,Dessert,1 piece,1.40,18.10,3.70,0.20,6.95,30.00,111.00
amaravati division,Zunka Bhakri,Lunch/Dinner,1 piece,2.10,6.50,1.60,1.30,9.98,40.00,48.00
amaravati division,taak,Drink,1 glass,2.30,2.30,3.00,0.00,117.8,250.00,45.00
amaravati division,Chakli,Snack,1 chakli,1.00,6.30,2.60,0.10,3.81,15.00,51.00
Nagpur division,chicken saoji,Lunch/Dinner,1 bowl,58.00,5.60,6.50,1.60,79,291.00,313.00
Nagpur division,Tarri Poha,Breakfast,1 cup,6.90,45.00,12.00,7.60,75.25,250.00,313.00
Nagpur division,Masala Bhat,Lunch/Dinner,1 cup,4.30,35.50,6.70,2.20,23.67,206.00,219.00
Nagpur division,Nagpur Orange Barfi ,Dessert,1 piece,2.50,15.60,3.60,0.10,115.9,30.00,103.00
Nagpur division,Sabudana poha,Breakfast,1 cup,4.00,46.00,7.60,2.50,30.33,166.00,267.00
Nagpur division,Tarri Pattice,Snack,1 piece,1.60,10.00,4.80,1.30,20.3,50.00,90.00
Nagpur division,Patodi Rassa,Lunch/Dinner,1 cup,8.20,24.50,11.80,5.20,76.5,250.00,236.00
Nagpur division,Sabudana vada ,Snack,1 piece,1.10,10.80,7.70,0.80,6.88,50.00,116.00
Nagpur division,Zunka Bhakri,Lunch/Dinner,1 piece,2.10,6.50,1.60,1.30,9.98,40.00,48.00
Nagpur division,Nagpuri Bhel,Snack,1 cup,5.10,27.00,8.90,2.90,31.87,93.00,207.00
Nagpur division,Bhakarwadi,Snack,1 serve,2.30,16.20,7.70,2.70,0,28.00,143.00
Nagpur division,Pithla Bhakri,Lunch/Dinner,1 cup,11.30,31.40,8.20,6.30,43.21,216.00,245.00
Nagpur division,Kharda,Snack,1 table spoon,1.40,1.50,2.60,0.50,9.6,14.00,32.00
Nagpur division,Anarsa,Dessert,1 piece,1.40,18.10,3.70,0.20,6.95,30.00,111.00
Nagpur division,pani puri (golgappa),Snack,1 serve (6 puris),5.10,43.10,6.50,3.40,56.3,237.00,249.00
Nagpur division,Batata Bhaji,Snack/Lunch/Dinner,1 cup,2.60,31.40,6.80,2.80,30,166.00,196.00
Nagpur division,Jalebi,Dessert,1 large,1.10,15.30,7.40,0.30,13.4,50.00,131.00
Nagpur division,Kadhi Pakoda,Lunch/Dinner,1 cup,7.40,18.70,16.60,3.80,114,250.00,253.00
South Indian,dosa,breakfast/dinner,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,dosai,breakfast/dinner,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,dosas,breakfast/dinner,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,egg dosa,breakfast/dinner,1 dosa,9.01,20.68,9.57,1.51,0,232.26,205.15
South Indian,egg dosas,breakfast/dinner,1 dosa,9.01,20.68,9.57,1.51,0,232.26,205.15
South Indian,ragi dosa,breakfast/dinner,1 medium dosa,1.95,14.58,7.77,0.74,0,80.00,134.79
South Indian,ragi dosas,breakfast/dinner,1 medium dosa,1.95,14.58,7.77,0.74,0,80.00,134.79
South Indian,onion dosa,breakfast/dinner,1 medium dosa,4.62,34.50,3.90,1.83,0,150.44,190.96
South Indian,wheat dosa,breakfast/dinner,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,mutta dosa,breakfast/dinner,1 dosa,9.01,20.68,9.57,1.51,0,232.26,205.15
South Indian,carrot dosa,breakfast/dinner,1 Serving,4.55,36.36,14.43,3.29,0,330.68,291.53
South Indian,dosa batter,breakfast/dinner,1 cup,3.88,29.20,0.26,0.86,0,229.93,137.07
South Indian,butter dosa,breakfast/dinner,1 medium dosa,4.01,29.21,11.77,0.86,0,107.50,238.88
South Indian,onion dosas,breakfast/dinner,1 medium dosa,4.62,34.50,3.90,1.83,0,150.44,190.96
South Indian,masala dosa,breakfast/dinner,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,mutta dosai,breakfast/dinner,1 dosa,9.01,20.68,9.57,1.51,0,232.26,205.15
South Indian,wheat dosas,breakfast/dinner,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,masala dosas,breakfast/dinner,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,carrot and ginger dosa,breakfast/dinner,1 Serving,4.55,36.36,14.43,3.29,0,330.68,291.53
South Indian,idli,breakfast/dinner,1 idli,1.65,11.62,0.44,0.54,0,38.50,58.01
South Indian,idlis,breakfast/dinner,1 idli,1.65,11.62,0.44,0.54,0,38.50,58.01
South Indian,idli vada,breakfast,1 idli,1.65,11.62,0.44,0.54,0,38.50,58.01
South Indian,idli sambar,breakfast/dinner,1 cup sambar with 3 idli,12.00,61.27,1.99,8.93,0,368.54,303.95
South Indian,sambar,breakfast/lunch/dinner,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80
South Indian,sambar rice,Lunch/Dinner,1 cup,6.53,38.54,4.50,5.45,0,207.00,213.92
South Indian,sambar soup,Lunch/Dinner,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80
South Indian,rice sambar,Lunch/Dinner,1 cup,6.53,38.54,4.50,5.45,0,207.00,213.92
South Indian,sambar sadam,Lunch/Dinner,1 cup,6.53,38.54,4.50,5.45,0,207.00,213.92
South Indian,sambar powder,Ingredient,1 tsp,0.29,1.12,0.28,1.06,0,2.00,6.50
South Indian,lentil sambar,Lunch/Dinner,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80
South Indian,homemade sambar,Lunch/Dinner,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80
South Indian,sambar homemade,Lunch/Dinner,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80
South Indian,vada,Snack,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88
South Indian,vadas,Snack,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88
South Indian,vada pao,Snack,1 sandwich,7.46,37.08,9.48,3.77,0,126.65,262.94
South Indian,vada pav,Snack,1 sandwich,7.46,37.08,9.48,3.77,0,126.65,262.94
South Indian,dahi vada,Snack,1 piece with sauce,3.78,7.79,5.01,2.41,0,70.90,88.66
South Indian,medu vada,Snack,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88
South Indian,mumbai vada,Snack,1 piece,1.71,13.02,5.96,0.89,0,50.42,111.54
South Indian,batata vada,Snack,1 piece,1.71,13.02,5.96,0.89,0,50.42,111.54
South Indian,potato vada,Snack,1 piece,1.71,13.02,5.96,0.89,0,50.42,111.54
South Indian,vada sambhar,Snack,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88
South Indian,upma,Breakfast,1 cup,3.45,21.12,3.96,1.98,0,155.06,132.38
South Indian,poha upma,Breakfast,1 cup,4.03,35.41,6.92,1.91,0,163.40,219.18
South Indian,vegetable upma,Breakfast,1 cup,3.45,21.12,3.96,1.98,0,155.06,132.38
South Indian,veggie poha upma,Breakfast,1 cup,4.03,35.41,6.92,1.91,0,163.40,219.18
South Indian,vegetable poha upma,Breakfast,1 cup,4.03,35.41,6.92,1.91,0,163.40,219.18
South Indian,rasam,Lunch/Dinner,1 serving,2.21,8.67,3.14,2.75,0,249.53,64.00
South Indian,rasam soup,Lunch/Dinner,1 serving,2.21,8.67,3.14,2.75,0,249.53,64.00
South Indian,indian rasam,Lunch/Dinner,1 serving,2.21,8.67,3.14,2.75,0,249.53,64.00
South Indian,pongal,Breakfast,1 cup,7.32,53.98,8.07,3.79,0,207.00,318.62
South Indian,ven pongal,Breakfast,1 cup,7.32,53.98,8.07,3.79,0,207.00,318.62
South Indian,belekoy,Snack/Dessert,1 piece,0.53,12.89,0.33,0.68,0,16.42,55.19
South Indian,belecoy,Snack/Dessert,1 piece,0.53,12.89,0.33,0.68,0,16.42,55.19
South Indian,filipino belekoy,Snack/Dessert,1 piece,0.53,12.89,0.33,0.68,0,16.42,55.19
South Indian,filipino belecoy,Snack/Dessert,1 piece,0.53,12.89,0.33,0.68,0,16.42,55.19
South Indian,coconut chutney,Condiment,2 tbsp,1.27,4.92,4.38,1.67,0,37.20,59.96
South Indian,coconut chutneys,Condiment,2 tbsp,1.27,4.92,4.38,1.67,0,37.20,59.96
South Indian,onion chutney,Condiment,2 tbsp,0.37,2.17,2.44,0.35,0,34.60,30.87
South Indian,tomato chutney,Condiment,1 tbsp,0.33,7.68,0.13,0.45,0,46.00,33.68
South Indian,mango chutney,Condiment,1 tbsp,0.14,8.34,0.10,0.20,0,17.00,33.35
South Indian,green chutney,Condiment,1 tablespoon,0.85,1.67,1.41,0.47,0,17.00,20.67
South Indian,garlic chutney,Condiment,1 cup,1.26,4.76,19.28,1.11,0,155.85,192.32
South Indian,date chutney,Condiment,1 tbsp,0.10,4.87,0.03,0.25,0,17.85,18.77
South Indian,apple chutney,Condiment,0.25 cup,0.46,26.34,0.12,0.84,0,60.80,104.18
South Indian,tamarind chutney,Condiment,1 tbsp,0.10,4.87,0.03,0.25,0,17.85,18.77
South Indian,coconut milk,Ingredient,1 cup,4.57,6.35,48.21,,0,226.00,445.22
South Indian,chutney,Condiment,1 tablespoon,0.85,1.67,1.41,0.47,0,17.00,20.67
South Indian,coconut oil,Ingredient,1 tbsp,0.00,0.00,13.47,0.00,0,13.60,121.31
South Indian,spiced mango chutney,Condiment,1 tbsp,0.14,8.34,0.10,0.20,0,17.00,33.35
South Indian,tamarind date chutney,Condiment,1 tbsp,0.10,4.87,0.03,0.25,0,17.85,18.77
South Indian,chutney coconut,Condiment,2 tbsp,1.27,4.92,4.38,1.67,0,37.20,59.96
South Indian,apple raisin chutney,Condiment,0.25 cup,0.46,26.34,0.12,0.84,0,60.80,104.18
South Indian,date tamarind chutney,Condiment,1 tbsp,0.10,4.87,0.03,0.25,0,17.85,18.77
South Indian,chutney tomato,Condiment,1 tbsp,0.33,7.68,0.13,0.45,0,46.00,33.68
South Indian,british style mango chutney,Condiment,1 tbsp,0.14,8.34,0.10,0.20,0,17.00,33.35
South Indian,biryani,Lunch/Dinner,1 cup,19.65,30.95,9.44,1.36,0,205.18,291.95
South Indian,egg biryani,Lunch/Dinner,1 cup,6.74,30.75,7.86,1.65,0,169.41,221.62
South Indian,biryani veg,Lunch/Dinner,1 cup,4.18,36.82,3.88,1.97,0,168.81,198.41
South Indian,biryani egg,Lunch/Dinner,1 cup,6.74,30.75,7.86,1.65,0,169.41,221.62
South Indian,fish biryani,Lunch/Dinner,1 cup,19.36,31.09,10.01,1.31,0,205.18,295.74
South Indian,egg biryanis,Lunch/Dinner,1 cup,6.74,30.75,7.86,1.65,0,169.41,221.62
South Indian,nasi biryani,Lunch/Dinner,1 cup,4.29,42.72,14.81,1.76,0,170.80,321.02
South Indian,beef biryani,Lunch/Dinner,1 cup,19.89,19.00,16.96,1.54,0,201.15,310.84
South Indian,palak biryani,Lunch/Dinner,1 Serving,10.02,82.48,12.24,5.71,0,400.57,472.69
South Indian,steak biryani,Lunch/Dinner,1 cup,19.89,19.00,16.96,1.54,0,201.15,310.84
South Indian,mutton biryani,Lunch/Dinner,1 serving (about 2 cups),37.65,37.99,37.14,3.08,0,402.20,642.24
South Indian,chicken biryani,Lunch/Dinner,1 cup,19.65,30.95,9.44,1.36,0,205.18,291.95
South Indian,biryani with egg,Lunch/Dinner,1 cup,6.74,30.75,7.86,1.65,0,169.41,221.62
South Indian,chicken biryanis,Lunch/Dinner,1 cup,19.65,30.95,9.44,1.36,0,205.18,291.95
South Indian,vegetable biryani,Lunch/Dinner,1 cup,4.18,36.82,3.88,1.97,0,168.81,198.41
South Indian,fish biryani spice,Lunch/Dinner,0.25 tsp,0.02,0.14,0.02,0.08,0,1.20,0.62
South Indian,biryani fish spice,Ingredient,0.25 tsp,0.02,0.14,0.02,0.08,0,1.20,0.62
South Indian,vegetable biryanis,lunch/dinner,1 cup,4.18,36.82,3.88,1.97,0,168.81,198.41
South Indian,fish biryani spice mix,Ingredient,0.25 tsp,0.02,0.14,0.02,0.08,0,1.20,0.62
South Indian,biryani fish spice mix,Ingredient,0.25 tsp,0.02,0.14,0.02,0.08,0,1.20,0.62
South Indian,appam,Breakfast,1 piece,1.47,16.68,2.39,0.61,0,45.94,94.29
South Indian,appams,Breakfast,1 piece,1.47,16.68,2.39,0.61,0,45.94,94.29
South Indian,kerala appam,Breakfast,1 piece,1.47,16.68,2.39,0.61,0,45.94,94.29
South Indian,payasam,Dessert,0.5 cup,4.16,17.29,5.34,0.38,0,112.50,131.29
North Indian,paratha,Breakfast/Lunch/Dinner,1 piece,5.02,35.83,10.43,7.58,0,79.00,257.54
North Indian,egg paratha,Breakfast/Lunch/Dinner,1 piece,11.32,45.13,7.46,6.80,0,106.14,278.62
North Indian,dal paratha,Breakfast/Lunch/Dinner,1 Paratha,4.16,20.68,5.47,1.91,0,64.02,148.43
North Indian,aloo paratha,Breakfast/Lunch/Dinner,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,roti paratha,Breakfast/Lunch/Dinner,1 piece,5.02,35.83,10.43,7.58,0,79.00,257.54
North Indian,aloo parathas,Breakfast/Lunch/Dinner,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,palak paratha,Breakfast/Lunch/Dinner,1 Piece,4.12,22.83,6.03,1.79,0,83.48,160.23
North Indian,onion paratha,Breakfast/Lunch/Dinner,1 piece,5.67,39.94,10.70,8.47,0,115.76,276.55
North Indian,paratha paneer,Breakfast/Lunch/Dinner,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
North Indian,paneer paratha,Breakfast/Lunch/Dinner,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
North Indian,potato paratha,Breakfast/Lunch/Dinner,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,potato parathas,Breakfast/Lunch/Dinner,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,paneer parathas,Breakfast/Lunch/Dinner,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
North Indian,chana dal paratha,Breakfast/Lunch/Dinner,1 Paratha,4.16,20.68,5.47,1.91,0,64.02,148.43
North Indian,aloo stuffed paratha,Breakfast/Lunch/Dinner,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,potato stuffed paratha,Breakfast/Lunch/Dinner,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,potato stuffed parathas,Breakfast/Lunch/Dinner,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,poha,Breakfast/Lunch/Dinner,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
North Indian,pohas,Breakfast/Lunch/Dinner,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
North Indian,poha dry,Breakfast/Lunch/Dinner,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,raw poha,Breakfast/Lunch/Dinner,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,dry poha,Breakfast/Lunch/Dinner,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,poha upma,Breakfast/Lunch/Dinner,1 cup,4.03,35.41,6.92,1.91,0,163.40,219.18
North Indian,poha raw,Breakfast/Lunch/Dinner,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,dry pohas,Breakfast/Lunch/Dinner,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,raw pohas,Breakfast/Lunch/Dinner,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,poha fruit,Breakfast/Lunch/Dinner,1 cup,2.66,15.68,0.98,,0,140.00,74.20
North Indian,poha plain,Breakfast/Lunch/Dinner,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
North Indian,plain poha,Breakfast/Lunch/Dinner,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
North Indian,cooked poha,Breakfast/Lunch/Dinner,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
North Indian,uncooked poha,Breakfast/Lunch/Dinner,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,poha uncooked,Snack,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,veggie poha upma,Snack,1 cup,4.03,35.41,6.92,1.91,0,163.40,219.18
North Indian,vegetable poha upma,Snack,1 cup,4.03,35.41,6.92,1.91,0,163.40,219.18
North Indian,samosa,Snack,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50
North Indian,samosas,Snack,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50
North Indian,meat samosa,Snack,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63
North Indian,samosa beef,Snack,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63
North Indian,samosa chaat,Snack,1 cup,10.86,42.31,22.83,8.10,0,233.26,403.43
North Indian,meat samosas,Snack,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63
North Indian,coconut samosa,Snack,1 piece,1.91,19.36,6.07,1.03,0,38.37,139.08
North Indian,chicken samosa,Snack,1 samosa,7.66,24.02,9.31,2.16,0,111.47,209.86
North Indian,coconut samosas,Snack,1 piece,1.91,19.36,6.07,1.03,0,38.37,139.08
North Indian,chicken samosas,Snack,1 samosa,7.66,24.02,9.31,2.16,0,111.47,209.86
North Indian,vegetable samosa,Snack,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50
North Indian,vegetarian samosa,Snack,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50
North Indian,vegetable samosas,Snack,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50
North Indian,vegetarian samosas,Snack,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50
North Indian,indian samosa chaat,Snack,1 cup,10.86,42.31,22.83,8.10,0,233.26,403.43
North Indian,beef and potato samosa,Snack,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63
North Indian,meat and potato samosa,Snack,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63
North Indian,aloo tikki,Snack,1 cup,3.54,18.25,16.50,2.37,0,121.29,228.58
North Indian,aloo tikka,Snack,1 cup,3.54,18.25,16.50,2.37,0,121.29,228.58
North Indian,aloo pie,Snack,1 pie,9.55,74.10,11.31,5.06,0,226.61,434.24
North Indian,aloo papri,Snack,1 cup,6.78,31.53,10.03,2.21,0,128.89,242.11
North Indian,aloo sabzi,Lunch/Dinner,1 cup,3.52,27.19,2.67,3.76,0,159.52,140.80
North Indian,aloo gobi,Lunch/Dinner,1 cup,2.48,14.51,5.46,2.83,0,154.98,110.82
North Indian,aloo naan,Lunch/Dinner,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,aloo pakora,Snack,1 piece,0.88,3.54,0.23,0.49,0,15.51,19.77
North Indian,aloo jeera,Lunch/Dinner,1 cup,3.45,28.32,5.61,3.15,0,143.29,172.06
North Indian,aloo curry,Lunch/Dinner,1 cup,2.94,20.53,13.23,3.60,0,237.69,204.18
North Indian,aloo masala,Lunch/Dinner,1 cup,3.83,27.46,14.22,4.06,0,195.08,242.14
North Indian,aloo pakoras,Lunch/Dinner,1 piece,0.88,3.54,0.23,0.49,0,15.51,19.77
North Indian,saag aloo,Lunch/Dinner,1 cup,4.93,22.62,6.66,4.26,0,194.83,159.73
North Indian,jeera aloo,Lunch/Dinner,1 cup,3.45,28.32,5.61,3.15,0,143.29,172.06
North Indian,aloo papri chaat,Snack,1 cup,6.78,31.53,10.03,2.21,0,128.89,242.11
North Indian,tandoori aloo,Lunch/Dinner,1 cup,3.54,18.25,16.50,2.37,0,121.29,228.58
North Indian,aloo gajar matar,Lunch/Dinner,1 cup,3.83,22.94,5.86,4.55,0,158.02,154.54
North Indian,chole bhature,Lunch/Dinner,1 bhatura with chole,13.24,58.91,26.96,11.07,0,281.08,510.88
North Indian,chole bhatura,Lunch/Dinner,1 bhatura with chole,13.24,58.91,26.96,11.07,0,281.08,510.88
North Indian,channa bhature,Breakfast/Lunch,1 bhatura with chole,13.24,58.91,26.96,11.07,0,281.08,510.88
North Indian,chole puri,Breakfast/Lunch,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59
North Indian,chole rice,Breakfast/Lunch,1 cup,5.96,36.58,8.45,4.13,0,176.55,243.21
North Indian,bhature,Breakfast/Lunch,1 piece,5.57,30.29,10.51,3.46,0,86.04,230.05
North Indian,chole masala,Breakfast/Lunch,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,chole,Breakfast/Lunch,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,choles,Breakfast/Lunch,1 cup,5.96,36.58,8.45,4.13,0,176.55,243.21
North Indian,chole masala with rice,Breakfast/Lunch,1 cup,5.96,36.58,8.45,4.13,0,176.55,243.21
North Indian,no cholesterol mayo,Breakfast/Lunch,1 tbsp,0.13,0.98,4.86,0.00,0,14.60,48.62
