Cuisines,Food item,Session consumed,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
North Indian,cholesterol free mayo,Ingredient,1 tbsp,0.13,0.98,4.86,0.00,0,14.60,48.62
North Indian,cholesterol free mayonnaise,Ingredient,1 tbsp,0.13,0.98,4.86,0.00,0,14.60,48.62
North Indian,kachori,Snack,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
North Indian,kachoris,Snack,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
North Indian,dal kachori,Snack,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
North Indian,dal kachoris,Snack,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
North Indian,khasta kachori,Snack,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
North Indian,chana masala,Lunch/Dinner,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,channa masala,Lunch/Dinner,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,chana daal,Lunch/Dinner,"1 cup, cooked",12.84,41.71,4.51,11.49,0,182.40,251.71
North Indian,chana dal,Lunch/Dinner,"1 cup, cooked",12.84,41.71,4.51,11.49,0,182.40,251.71
North Indian,tikka masala,Lunch/Dinner,2 cups,55.61,21.70,47.79,4.33,0,472.00,729.73
North Indian,matar masala,Lunch/Dinner,1 cup,4.71,19.06,7.01,4.66,0,241.29,149.32
North Indian,garam masala,Lunch/Dinner,1 serving,0.16,0.85,0.19,0.36,0,1.47,4.64
North Indian,chana poori,Breakfast/Lunch,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59
North Indian,masala,Ingredient,1 serving,0.16,0.85,0.19,0.36,0,1.47,4.64
North Indian,chana puri,Breakfast/Lunch,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59
North Indian,chanas,Ingredient,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,masala dosa,Breakfast,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
North Indian,chana,Lunch/Dinner,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,puri chana,Breakfast/Lunch,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59
North Indian,daal chanas,Breakfast,"1 cup, cooked",12.84,41.71,4.51,11.49,0,182.40,251.71
North Indian,chana dal poori,Breakfast/Lunch,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59
North Indian,plain chana dal,Ingredient,"1 cup, cooked",12.84,41.71,4.51,11.49,0,182.40,251.71
North Indian,chicken tikka masala,Lunch/Dinner,2 cups,55.61,21.70,47.79,4.33,0,472.00,729.73
North Indian,misal pav,Snack,1 serving (1 pav + 1 cup curry),10.07,41.66,7.37,8.38,0,225.90,263.80
North Indian,vada pav,Snack,1 sandwich,7.46,37.08,9.48,3.77,0,126.65,262.94
North Indian,wada pav,Snack,1 sandwich,7.46,37.08,9.48,3.77,0,126.65,262.94
North Indian,pavlova,Dessert,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,pavlovas,Dessert,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,pav bhaji,Lunch/Dinner,1 serving,11.75,62.58,11.44,9.44,0,404.33,389.75
North Indian,fruit pavlova,Dessert,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,pavlova cake,Dessert,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,berry pavlova,Dessert,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,salvadoreno pavo,Lunch/Dinner,1 cup,38.46,10.39,10.53,1.83,0,245.09,298.05
North Indian,pavo salvadoreno,Lunch/Dinner,1 cup,38.46,10.39,10.53,1.83,0,245.09,298.05
North Indian,mixed berry pavlova,Dessert,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,pavlova with berries,Dessert,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,dhokla,Snack,1 piece,5.70,15.88,7.36,2.54,0,57.86,151.72
North Indian,khaman dhokla,Snack,1 piece,5.70,15.88,7.36,2.54,0,57.86,151.72
North Indian,paneer curry,Lunch/Dinner,1 cup,17.48,10.13,29.09,1.48,0,236.00,367.39
North Indian,paneer cheese,Ingredient,"1 cup, crumbled",22.07,3.64,29.06,0.00,0,122.00,364.78
North Indian,paneer korma,Lunch/Dinner,1 cup,17.48,10.13,29.09,1.48,0,236.00,367.39
North Indian,paneer kabab,Lunch/Dinner,1 skewer,12.75,12.04,20.54,1.24,0,177.92,280.30
North Indian,paneer kebab,Lunch/Dinner,1 skewer,12.75,12.04,20.54,1.24,0,177.92,280.30
North Indian,paneer tikka,Lunch/Dinner,1 cup,8.24,6.90,16.27,1.50,0,198.14,201.27
North Indian,paneer butter,Lunch/Dinner,1 cup,8.24,6.90,16.27,1.50,0,198.14,201.27
North Indian,paneer masala,Lunch/Dinner,1 cup,8.24,6.90,16.27,1.50,0,198.14,201.27
North Indian,paneer,Lunch/Dinner,"1 cup, crumbled",22.07,3.64,29.06,0.00,0,122.00,364.78
North Indian,matter paneer,Lunch/Dinner,1 serving,23.31,24.93,46.18,6.41,0,440.46,598.54
North Indian,mutter paneer,Lunch/Dinner,1 serving,23.31,24.93,46.18,6.41,0,440.46,598.54
North Indian,matar paneer,Lunch/Dinner,1 serving,23.31,24.93,46.18,6.41,0,440.46,598.54
North Indian,palak paneer,Lunch/Dinner,1 cup,15.06,10.01,30.48,2.64,0,200.00,365.53
North Indian,saag paneer,Lunch/Dinner,1 cup,15.06,10.01,30.48,2.64,0,200.00,365.53
North Indian,chilli paneer,Lunch/Dinner,1 cup,15.03,17.45,27.01,2.09,0,232.71,366.48
North Indian,shahi paneer,Lunch/Dinner,1 cup,11.72,12.39,24.58,2.44,0,242.29,309.87
North Indian,chili paneer,Lunch/Dinner,1 cup,15.03,17.45,27.01,2.09,0,232.71,366.48
North Indian,paneer tikka masala,Lunch/Dinner,1 cup,8.24,6.90,16.27,1.50,0,198.14,201.27
Northeast and Coastal Indian,paratha paneer,Lunch/dinner,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
Northeast and Coastal Indian,paneer paratha,Breakfast/Lunch/dinner,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
Northeast and Coastal Indian,potato paratha,Breakfast/Lunch/dinner,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
Northeast and Coastal Indian,potato parathas,Breakfast/Lunch/dinner,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
Northeast and Coastal Indian,paneer parathas,Breakfast/Lunch/dinner,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
Northeast and Coastal Indian,momos,Snack,1 dumpling,3.37,7.19,2.16,0.44,0,36.43,61.48
Northeast and Coastal Indian,nepali momos,Snack,1 dumpling,3.37,7.19,2.16,0.44,0,36.43,61.48
Northeast and Coastal Indian,chicken momos,Snack,1 dumpling,3.37,7.19,2.16,0.44,0,36.43,61.48
Northeast and Coastal Indian,lauki sabzi,Lunch/Dinner,1 cup,1.89,11.16,2.67,3.30,0,239.30,69.08
Northeast and Coastal Indian,aloo sabzi,Lunch/Dinner,1 cup,3.52,27.19,2.67,3.76,0,159.52,140.80
Northeast and Coastal Indian,ghormeh sabzi,Lunch/Dinner,1 bowl (2 cups),44.62,32.84,24.80,8.05,0,503.40,523.27
Northeast and Coastal Indian,qormeh sabzi,Lunch/Dinner,1 bowl (2 cups),44.62,32.84,24.80,8.05,0,503.40,523.27
Northeast and Coastal Indian,lauki ki sabzi,Lunch/Dinner,1 cup,1.89,11.16,2.67,3.30,0,239.30,69.08
Northeast and Coastal Indian,chocolate rice pudding,Dessert,1 cup,2.51,49.79,0.20,0.00,0,172.00,212.86
Northeast and Coastal Indian,pakistani style rice pudding,Dessert,1 cup,11.56,47.74,13.20,1.34,0,290.21,351.79
Northeast and Coastal Indian,pakistani rice pudding,Dessert,1 cup,11.56,47.74,13.20,1.34,0,290.21,351.79
Northeast and Coastal Indian,thai steamed rice and pork pudding,Dessert,1 cup,7.12,45.33,17.35,0.71,0,194.94,368.68
Northeast and Coastal Indian,black pudding,Dessert,1 sausage,16.56,1.46,39.12,0.00,0,113.40,429.79
Northeast and Coastal Indian,rice pudding,Dessert,0.5 cup,2.97,16.92,1.98,0.28,0,92.00,99.36
Northeast and Coastal Indian,banana pudding,Dessert,1 cup,3.98,46.64,10.11,1.17,0,175.44,287.63
Northeast and Coastal Indian,black eye peas and rice,Lunch/Dinner,1 cup,12.27,51.81,1.99,6.21,0,224.00,276.25
Northeast and Coastal Indian,black rice,Lunch/Dinner,1 cup,4.25,44.51,0.44,0.63,0,158.00,205.40
Northeast and Coastal Indian,blackeye peas and rice,Lunch/Dinner,1 cup,12.27,51.81,1.99,6.21,0,224.00,276.25
Northeast and Coastal Indian,black beans with rice,Lunch/Dinner,1 cup,5.75,42.86,5.46,4.16,0,239.00,244.13
Northeast and Coastal Indian,black beans and rice,Lunch/Dinner,1 cup,5.75,42.86,5.46,4.16,0,239.00,244.13
Northeast and Coastal Indian,black eyed peas and rice,Lunch/Dinner,1 cup,12.27,51.81,1.99,6.21,0,224.00,276.25
Northeast and Coastal Indian,thai steamed rice pudding with pork,Lunch/Dinner,1 cup,7.12,45.33,17.35,0.71,0,194.94,368.68
Northeast and Coastal Indian,thai steamed pudding with rice and pork,Lunch/Dinner,1 cup,7.12,45.33,17.35,0.71,0,194.94,368.68
Northeast and Coastal Indian,black beans with rice and tomatoes,Lunch/Dinner,1 cup,5.75,42.86,5.46,4.16,0,239.00,244.13
Northeast and Coastal Indian,black beans and rice with tomatoes,Lunch/Dinner,1 cup,5.75,42.86,5.46,4.16,0,239.00,244.13
Northeast and Coastal Indian,rice kheer,Dessert,0.5 cup,4.16,17.29,5.34,0.38,0,112.50,131.29
Northeast and Coastal Indian,kheer,Dessert,0.5 cup,4.16,17.29,5.34,0.38,0,112.50,131.29
Rajastani,dal kachori,Snack,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
Rajastani,khasta kachori,Snack,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
Rajastani,dal kachoris,Snack,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
Rajastani,kachori,Snack,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
Rajastani,kachoris,Snack,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
Rajastani,kimchi,Snack,1 cup,1.65,3.60,0.75,2.40,0,150.00,22.50
Rajastani,kit kat,Snack,1 bar (1.5 oz),2.73,27.13,10.92,0.42,0,42.00,217.56
Rajastani,kiwi,Snack,"1 fruit (2"" dia)",0.79,10.12,0.36,2.07,0,69.00,42.09
Rajastani,sungold kiwi,Snack,1 fruit,0.83,12.79,0.23,1.13,0,81.00,51.03
Rajastani,kiwi smoothie,Snack,12 fl oz,6.85,52.01,2.73,3.55,0,308.52,245.00
Rajastani,kipper snacks,Snack,"2 oz, boneless",13.94,0.00,7.01,0.00,0,56.70,123.04
Rajastani,kiwifruit,Snack,"1 fruit (2"" dia)",0.79,10.12,0.36,2.07,0,69.00,42.09
Rajastani,kielbasa,Snack,1 link,45.69,18.46,108.93,0.00,0,367.00,1236.79
Rajastani,kidney beans,Snack,3 oz,23.18,0.00,3.95,0.00,0,85.00,134.30
Rajastani,kiwis,Snack,"1 fruit (2"" dia)",0.79,10.12,0.36,2.07,0,69.00,42.09
Rajastani,turkey kielbasa,Lunch/Dinner,1 link,45.69,18.46,108.93,0.00,0,367.00,1236.79
Rajastani,kidney beans,Lunch/Dinner,1 cup,15.35,40.36,0.89,11.33,0,177.00,224.79
Rajastani,burger king french fries,Snack,1 medium serving,3.78,45.28,14.60,3.39,0,117.00,327.60
Rajastani,strawberry kiwi smoothie,Breakfast/Drink,12 fl oz,6.85,52.01,2.73,3.55,0,308.52,245.00
Rajastani,dry white kidney beans,Lunch/Dinner,1 cup,47.19,121.75,1.72,30.70,0,202.00,672.66
Rajastani,baati chokha,Lunch/Dinner,1 piece,5.18,25.09,3.35,4.18,0,104.81,144.08
Rajastani,dal baati,Lunch/Dinner,1 Baati with dal,11.59,36.15,13.49,9.53,0,165.25,301.48
Rajastani,dal paratha,Lunch/Dinner,1 Paratha,4.16,20.68,5.47,1.91,0,64.02,148.43
Rajastani,dal chawal,Lunch/Dinner,1 cup,12.78,48.22,5.84,9.53,0,207.00,293.42
Rajastani,baati,Lunch/Dinner,1 piece,4.44,19.19,2.91,3.09,0,49.58,115.75
Rajastani,dal makhani,Lunch/Dinner,1 serving,16.28,39.48,24.21,13.21,0,253.46,426.89
Rajastani,dal rice,Lunch/Dinner,1 cup,12.78,48.22,5.84,9.53,0,207.00,293.42
Rajastani,palak dal,Lunch/Dinner,1 servings,12.80,29.07,8.77,11.46,0,184.68,236.84
Rajastani,daleem,Lunch/Dinner,1 bowl (2 cups),7.54,7.80,5.52,2.12,0,151.80,109.22
Rajastani,drumstick dal,Lunch/Dinner,1 serving,4.96,16.78,8.50,4.88,0,385.54,155.20
Rajastani,chokha baati,Lunch/Dinner,1 piece,5.18,25.09,3.35,4.18,0,104.81,144.08
Rajastani,plain chana dal,Lunch/Dinner,"1 cup, cooked",12.84,41.71,4.51,11.49,0,182.40,251.71
Rajastani,roti dal,Lunch/Dinner,1 roti,4.60,20.67,2.42,3.86,0,46.98,116.17
Rajastani,lentil dal,Lunch/Dinner,1 cup,14.25,33.94,4.18,12.89,0,214.26,221.88
Rajastani,coconut dal,Lunch/Dinner,1 cup,6.75,15.86,16.28,5.00,0,140.55,224.74
Rajastani,chana dal paratha,Lunch/Dinner,1 Paratha,4.16,20.68,5.47,1.91,0,64.02,148.43
Rajastani,rice dal,Lunch/Dinner,1 cup,12.78,48.22,5.84,9.53,0,207.00,293.42
Rajastani,dal,Lunch/Dinner,1 cup,14.25,33.94,4.18,12.89,0,214.26,221.88
Rajastani,chana dal,Lunch/Dinner,"1 cup, cooked",12.84,41.71,4.51,11.49,0,182.40,251.71
Rajastani,moong dal,Lunch/Dinner,1 cup,15.71,40.52,2.05,15.90,0,206.46,235.67
Rajastani,lauki ki sabzi,Lunch/Dinner,1 cup,1.89,11.16,2.67,3.30,0,239.30,69.08
Rajastani,lauki sabzi,Lunch/Dinner,1 cup,1.89,11.16,2.67,3.30,0,239.30,69.08
Rajastani,qormeh sabzi,Lunch/Dinner,1 bowl (2 cups),44.62,32.84,24.80,8.05,0,503.40,523.27
Rajastani,aloo sabzi,Lunch/Dinner,1 cup,3.52,27.19,2.67,3.76,0,159.52,140.80
Rajastani,ghormeh sabzi,Lunch/Dinner,1 bowl (2 cups),44.62,32.84,24.80,8.05,0,503.40,523.27
Rajastani,mawa paneer,Snack,1 cup,13.40,16.72,19.49,1.93,0,198.29,288.76
Rajastani,mawa,Snack,1 cup,20.36,29.77,24.31,0.00,0,111.66,416.09
Rajastani,mawas,Snack,1 cup,20.36,29.77,24.31,0.00,0,111.66,416.09
Rajastani,mawa paneer curry,Lunch/Dinner,1 cup,13.40,16.72,19.49,1.93,0,198.29,288.76
Rajastani,paneer mawa,Lunch/Dinner,1 cup,13.40,16.72,19.49,1.93,0,198.29,288.76
Rajastani,poha,breakfast/lunch/Dinner,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
Rajastani,dry poha,Snack,1 cup,7.15,87.07,0.57,,0,110.00,393.80
Rajastani,poha dry,Snack,1 cup,7.15,87.07,0.57,,0,110.00,393.80
Rajastani,raw poha,snack,1 cup,7.15,87.07,0.57,,0,110.00,393.80
Rajastani,poha raw,snack,1 cup,7.15,87.07,0.57,,0,110.00,393.80
Rajastani,raw pohas,snack,1 cup,7.15,87.07,0.57,,0,110.00,393.80
Rajastani,dry pohas,Snack,1 cup,7.15,87.07,0.57,,0,110.00,393.80
Rajastani,poha plain,Snack,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
Rajastani,poha fruit,Snack,1 cup,2.66,15.68,0.98,,0,140.00,74.20
Rajastani,plain poha,Snack,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
Rajastani,cooked poha,Snack,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
Rajastani,uncooked poha,Snack,1 cup,7.15,87.07,0.57,,0,110.00,393.80
Rajastani,poha uncooked,Snack,1 cup,7.15,87.07,0.57,,0,110.00,393.80
Rajastani,veggie poha upma,Breakfast/Lunch,1 cup,4.03,35.41,6.92,1.91,0,163.40,219.18
Rajastani,vegetable poha upma,Breakfast/Lunch,1 cup,4.03,35.41,6.92,1.91,0,163.40,219.18
Rajastani,aloo paratha,Breakfast/Lunch,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
Rajastani,aloo parathas,Breakfast/Lunch,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
Rajastani,egg paratha,Breakfast/Lunch,1 piece,11.32,45.13,7.46,6.80,0,106.14,278.62
Rajastani,roti paratha,Breakfast/Lunch,1 piece,5.02,35.83,10.43,7.58,0,79.00,257.54
Rajastani,palak paratha,Breakfast/Lunch,1 Piece,4.12,22.83,6.03,1.79,0,83.48,160.23
Rajastani,paratha,Breakfast/Lunch,1 piece,5.02,35.83,10.43,7.58,0,79.00,257.54
Rajastani,potato parathas,Breakfast/Lunch,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
Rajastani,paneer paratha,Breakfast/Lunch,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
Rajastani,aloo tikka,Lunch/Dinner,1 cup,3.54,18.25,16.50,2.37,0,121.29,228.58
Rajastani,aloo jeera,Lunch/Dinner,1 cup,3.45,28.32,5.61,3.15,0,143.29,172.06
Rajastani,aloo gobi,Lunch/Dinner,1 cup,2.48,14.51,5.46,2.83,0,154.98,110.82
Rajastani,aloo stuffed paratha,Breakfast/Lunch,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
Rajastani,saag aloo,Lunch/Dinner,1 cup,4.93,22.62,6.66,4.26,0,194.83,159.73
Rajastani,jeera aloo,Lunch/Dinner,1 cup,3.45,28.32,5.61,3.15,0,143.29,172.06
Rajastani,tandoori aloo,Lunch/Dinner,1 cup,3.54,18.25,16.50,2.37,0,121.29,228.58
Rajastani,paratha paneer,Lunch/Dinner,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
Rajastani,potato stuffed paratha,Breakfast/Lunch/dinner,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
Rajastani,idli vada,Breakfast,1 idli,1.65,11.62,0.44,0.54,0,38.50,58.01
Rajastani,dahi vada,Breakfast/Lunch/dinner,1 piece with sauce,3.78,7.79,5.01,2.41,0,70.90,88.66
Rajastani,mumbai vada,Snack,1 piece,1.71,13.02,5.96,0.89,0,50.42,111.54
Rajastani,potato vada,Snack,1 piece,1.71,13.02,5.96,0.89,0,50.42,111.54
Rajastani,batata vada,Snack,1 piece,1.71,13.02,5.96,0.89,0,50.42,111.54
Rajastani,medu vada,Snack,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88
Rajastani,vada,breakfast/snack,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88
Rajastani,vadas,breakfast/snack,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88
Rajastani,vada pav,Snack,1 sandwich,7.46,37.08,9.48,3.77,0,126.65,262.94
Rajastani,vada pao,Snack,1 sandwich,7.46,37.08,9.48,3.77,0,126.65,262.94
Rajastani,vada sambhar,breakfast/Snack,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88
Rajastani,dahl roti,Lunch/Dinner,1 roti,4.60,20.67,2.42,3.86,0,46.98,116.17
Rajastani,fulka roti,Lunch/Dinner,1 piece,7.65,31.52,5.07,3.33,0,68.00,201.96
Rajastani,daal roti,Lunch/Dinner,1 roti,4.60,20.67,2.42,3.86,0,46.98,116.17
Rajastani,ragi roti,Lunch/Dinner,1 large,2.78,19.52,5.71,1.14,0,67.98,139.24
Rajastani,dal roti,Lunch/Dinner,1 roti,4.60,20.67,2.42,3.86,0,46.98,116.17
Rajastani,wheat roti,Lunch/Dinner,1 medium,3.14,18.45,3.68,3.88,0,40.00,119.60
Rajastani,roti,Lunch/Dinner,1 medium,3.14,18.45,3.68,3.88,0,40.00,119.60
Rajastani,chicken roti,Lunch/Dinner,1 wrap,36.07,39.09,15.99,4.83,0,304.00,446.70
Rajastani,rotini,Lunch/Dinner,1 cup rotini,6.21,33.02,1.00,1.93,0,107.00,169.06
Rajastani,black bean rotini,Lunch/Dinner,2 oz,15.07,28.48,4.50,7.44,0,56.00,211.96
Rajastani,roti chicken,Lunch/Dinner,1 wrap,36.07,39.09,15.99,4.83,0,304.00,446.70
Rajastani,whole wheat rotini,Lunch/Dinner,1 cup rotini,6.41,32.17,1.83,4.17,0,107.00,159.43
Rajastani,curry chicken roti,Lunch/Dinner,1 wrap,36.07,39.09,15.99,4.83,0,304.00,446.70
Rajastani,chicken rotisserie,Lunch/Dinner,1 serving (3 oz),21.93,0.02,10.30,0.00,0,85.00,180.51
Rajastani,rotisserie drumstick,Lunch/Dinner,1 drumstick,14.24,0.01,6.35,0.00,0,53.00,113.95
Rajastani,rotisserie chicken,Lunch/Dinner,1 serving (3 oz),21.93,0.02,10.30,0.00,0,85.00,180.51
Rajastani,rotisserie chicken thigh,Lunch/Dinner,1 thigh,20.41,0.02,13.97,0.00,0,89.00,207.37
Rajastani,rotisserie chicken breast,Lunch/Dinner,1 serving (3 oz),23.36,0.02,6.95,0.00,0,85.00,156.40
Rajastani,chicken drumstick rotisserie,Lunch/Dinner,1 drumstick,14.24,0.01,6.35,0.00,0,53.00,113.95
Rajastani,indian ladoo,Dessert,1 piece,4.17,23.54,11.44,2.04,0,41.64,211.38
Rajastani,besan ladoo,Dessert,1 piece,4.17,23.54,11.44,2.04,0,41.64,211.38
Rajastani,chickpea ladoo,Dessert,1 piece,4.17,23.54,11.44,2.04,0,41.64,211.38
Rajastani,ladoo,Dessert,1 piece,4.17,23.54,11.44,2.04,0,41.64,211.38
Rajastani,aloo tikki,Snack,1 cup,3.54,18.25,16.50,2.37,0,121.29,228.58
Rajastani,aloo pie,Snack,1 pie,9.55,74.10,11.31,5.06,0,226.61,434.24
general,paneer tikka,Snack,1 cup,8.24,6.90,16.27,1.50,0,198.14,201.27
general,masala dosa,Lunch/Dinner,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
general,chole bhature,Lunch/Dinner,1 bhatura with chole,13.24,58.91,26.96,11.07,0,281.08,510.88
general,palak paneer,Lunch/Dinner,1 cup,15.06,10.01,30.48,2.64,0,200.00,365.53
general,aloo gobi,Lunch/Dinner,1 cup,2.48,14.51,5.46,2.83,0,154.98,110.82
general,rajma masala,Lunch/Dinner,1 cup,13.20,37.98,6.51,9.26,0,250.00,252.36
general,baingan bharta,Lunch/Dinner,1 cup,2.14,17.47,5.64,4.82,0,233.92,117.41
general,pav bhaji,Lunch/Dinner,1 serving,11.75,62.58,11.44,9.44,0,404.33,389.75
general,vegetable biryani,Lunch/Dinner,1 cup,4.18,36.82,3.88,1.97,0,168.81,198.41
general,dal,Lunch/Dinner,1 cup,14.25,33.94,4.18,12.89,0,214.26,221.88
general,kofta,Lunch/Dinner,1 piece,6.10,1.32,4.80,0.47,0,30.05,73.17
general,paneer butter masala,Lunch/Dinner,1 cup,8.24,6.90,16.27,1.50,0,198.14,201.27
general,aloo paratha,Breakfast/Lunch,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
general,veg pulao,Lunch/Dinner,1 cup,5.39,53.93,4.39,1.01,0,244.07,280.64
general,paneer,ingredient,"1 cup, crumbled",22.07,3.64,29.06,0.00,0,122.00,364.78
general,masala,Lunch/Dinner,1 serving,0.16,0.85,0.19,0.36,0,1.47,4.64
general,dal makhani,Lunch/Dinner,1 serving,16.28,39.48,24.21,13.21,0,253.46,426.89
general,gobi manchurian,Lunch/Dinner,1 cup,3.11,22.16,15.71,2.57,0,136.67,235.92
general,hakka noodles,Lunch/Dinner,2 cups,18.43,52.26,17.16,5.77,0,400.00,424.13
general,spring rolls,snack/dinner,1 roll,3.75,19.28,6.22,0.87,0,64.47,148.30
general,roti,Lunch/Dinner,1 medium,3.14,18.45,3.68,3.88,0,40.00,119.60
general,korma,Breakfast/Lunch,1 serving (about 2 cups),27.99,14.89,32.91,2.34,0,318.60,460.98
general,vegetable upma,breakfast/dinner/Snack,1 cup,3.45,21.12,3.96,1.98,0,155.06,132.38
general,pani puri,Snack,1 piece,2.45,14.89,9.86,2.15,0,70.69,151.70
general,dahi vada,Lunch/Dinner/snack,1 piece with sauce,3.78,7.79,5.01,2.41,0,70.90,88.66
general,chana masala,Lunch/Dinner,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
general,rajma chawal,Lunch/Dinner,1 cup,9.47,42.59,3.44,6.54,0,250.45,235.08
general,momos,Snack,1 dumpling,3.37,7.19,2.16,0.44,0,36.43,61.48
general,seekh kebab,Snack,1 piece,28.02,8.53,19.73,2.04,0,155.38,324.91
general,curry,Lunch/Dinner,1 cup,28.25,7.52,10.86,1.49,0,234.57,243.26
general,aloo tikki,Snack,1 cup,3.54,18.25,16.50,2.37,0,121.29,228.58
general,cutlet,Snack,1 cutlet,30.57,15.83,8.43,0.82,0,126.68,270.60
general,dosa,Breakfast/Lunch,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
general,veg fried rice,Lunch/Dinner,1 cup,8.01,29.71,14.28,2.11,0,166.99,278.80
general,mixed vegetable,Lunch/Dinner,1 cup,2.38,9.73,0.46,4.16,0,140.05,45.30
general,veggie pizza,Lunch/Dinner,1 medium slice,10.95,32.70,9.91,2.48,0,108.00,262.80
general,vegetable soup,Appetizer,1 bowl (2 cups),5.83,25.79,3.76,3.37,0,482.00,159.06
