Field 0,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11
Cuisines,Food item,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),Food Allergies,Volume
N/A,butter chicken,100,9.7,5.8,9.6,0.8,N/A,100,152,N/A,0
N/A,tandoori chicken,100,15.4,3.1,6,0.4,N/A,100,132.3,N/A,0
N/A,rogan josh,100,7.4,4.6,5.4,1,N/A,100,96.8,N/A,0
N/A,dal makhani,100,6.4,15.8,9.6,5.3,N/A,100,170.9,N/A,0
N/A,chole,100,3.9,14.5,8.4,3.9,N/A,100,143.8,N/A,0
N/A,aloo paratha,100,4.7,34.6,8,6.6,N/A,100,231.1,N/A,0
N/A,paneer tikka,100,4.2,3.5,8.2,0.8,N/A,100,100.4,N/A,0
N/A,saag,100,2.8,5.2,9.2,2.8,N/A,100,109,N/A,0
N/A,roti,100,7.8,45.6,9,9.5,N/A,100,296.9,N/A,0
N/A,fish,100,26,0,2.7,0,N/A,100,129.2,N/A,0
N/A,biryani,100,9.6,15,4.6,0.7,N/A,100,142.9,N/A,0
N/A,rajma,100,5.3,15.1,2.6,3.7,N/A,100,98.5,N/A,0
N/A,samosa,100,3.5,24.2,17.4,2.1,N/A,100,260.8,N/A,0
N/A,naan,100,9.6,51.2,5.6,2.2,N/A,100,284.4,N/A,0
N/A,lassi,100,2.8,8.9,0.8,0.1,N/A,100,54.4,N/A,0
N/A,jalebi,100,2.3,52.6,6.4,0.7,N/A,100,278.9,N/A,0
N/A,gulab jamun,100,3.9,39.7,14.6,0.1,N/A,100,293.7,N/A,0
N/A,pav bhaji,100,2.9,15.7,2.8,2.3,N/A,100,98.9,N/A,0
N/A,puri,100,5.2,28.6,22.5,4.2,N/A,100,330.2,N/A,0
N/A,masala,100,10.8,57.6,12.7,24.9,N/A,100,315.1,N/A,0
N/A,palak paneer,100,7.5,5.1,15,1.3,N/A,100,183.3,N/A,0
N/A,kofta,100,20.4,4.4,15.9,1.6,N/A,100,248.5,N/A,0
N/A,paneer,100,18.2,3,24,0,N/A,100,299.7,N/A,0
N/A,bharta,100,0.9,7.5,2.4,2.1,N/A,100,49.8,N/A,0
N/A,dahi,100,8.9,4,5,0,N/A,100,94.3,N/A,0
N/A,chana masala,100,3.9,14.7,8.6,3.9,N/A,100,146.6,N/A,0
N/A,chicken,100,23.7,0,12.9,0,N/A,100,222.6,N/A,0
N/A,korma,100,8.9,4.7,10.2,0.7,N/A,100,143.5,N/A,0
N/A,keema,100,10.7,6.2,10.8,1.9,N/A,100,165.1,N/A,0
N/A,aloo gobi,100,1.6,9.3,3.6,1.8,N/A,100,70.1,N/A,0
N/A,shahi paneer,100,4.8,5.1,10.1,1,N/A,100,131.6,N/A,0
N/A,paneer butter masala,100,4.2,3.5,8.1,0.8,N/A,100,101.8,N/A,0
N/A,parathas,100,6.4,44.7,13.4,9.6,N/A,100,319.6,N/A,0
N/A,fish curry,100,17.1,2.9,7.2,0.5,N/A,100,142.6,N/A,0
N/A,chicken tikka masala,100,14,4,9,0.8,N/A,100,149.9,N/A,0
N/A,kebabs,100,7.5,17,1.1,1.1,N/A,100,108.9,N/A,0
N/A,kebab,100,7.4,17.4,1.1,1.1,N/A,100,110.6,N/A,0
N/A,nihari,100,7.2,2.8,8.3,0.5,N/A,100,113.3,N/A,0
N/A,kheer,100,3.7,15.1,4.7,0.3,N/A,100,115.2,N/A,0
N/A,halwa,100,2.5,15.4,6,1,N/A,100,123.8,N/A,0
N/A,raita,100,2.7,4.1,2.4,0.4,N/A,100,45.6,N/A,0
N/A,chicken biryani,100,9.5,15.3,4.6,0.7,N/A,100,140.2,N/A,0
N/A,prawn,100,22.7,1.6,1.8,0,N/A,100,118,N/A,0
N/A,curry,100,12.1,3.2,4.7,0.6,N/A,100,101,N/A,0
N/A,moong dal,100,7.6,19.8,1,7.7,N/A,100,114.1,N/A,0
N/A,kulcha,100,5.5,39.7,11.8,1.3,N/A,100,294,N/A,0
N/A,masala chai,100,0,0.6,0,0.1,N/A,100,2,N/A,0
N/A,pakora,100,3.4,10.6,10.9,2.4,N/A,100,154.8,N/A,0
N/A,chicken saag,100,7.4,3.9,7,1.5,N/A,100,107.2,N/A,0
N/A,vegetable,100,1.7,6.8,0.3,3,N/A,100,32.7,N/A,0
N/A,pulao,100,2.5,25.8,4.9,0.4,N/A,100,158,N/A,0
N/A,shami kebab,100,12.7,6.4,18.6,1.5,N/A,100,238.8,N/A,0
N/A,mutton,100,24.4,0,21.3,0,N/A,100,289.6,N/A,0
N/A,tikka masala,100,14,4,9.3,0.8,N/A,100,146.8,N/A,0
N/A,chana,100,3.9,14.8,8.5,3.9,N/A,100,145.1,N/A,0
N/A,butter naan,100,9,46.6,11.1,2,N/A,100,313.7,N/A,0
N/A,dal,100,6.6,16,1.9,5.9,N/A,100,102.2,N/A,0
N/A,kabab,100,15.7,2.5,16.7,0.6,N/A,100,221.9,N/A,0
N/A,mango lassi,100,2.2,14.7,1.9,0.7,N/A,100,77.5,N/A,0
N/A,besan,100,22.6,56.7,6.7,10.7,N/A,100,384.7,N/A,0
N/A,ladoo,100,10.1,57.2,27,4.8,N/A,100,495.3,N/A,0
N/A,rice,100,2.7,28.4,0.3,0.4,N/A,100,127.4,N/A,0
N/A,mushroom,100,2.1,5.3,0.5,2.1,N/A,100,28,N/A,0
N/A,meat,100,27.7,0,12.2,0,N/A,100,221.2,N/A,0
N/A,chicken masala,100,14.1,3.9,9.1,0.8,N/A,100,153.6,N/A,0
N/A,paratha,100,6.4,46.1,13.1,9.6,N/A,100,317.7,N/A,0
N/A,papdi,100,5.2,38.3,18.1,1.6,N/A,100,336.5,N/A,0
N/A,palak,100,3,3.7,0.3,2.4,N/A,100,23.2,N/A,0
N/A,chana dal,100,7,22.6,2.5,6.3,N/A,100,139.4,N/A,0
N/A,kheema,100,10.6,6.1,10.5,1.9,N/A,100,164.2,N/A,0
N/A,vada,100,6.2,16,12,2.8,N/A,100,186.8,N/A,0
N/A,jeera aloo,100,2.4,19.5,4,2.2,N/A,100,117.7,N/A,0
N/A,lotus,100,1.6,16.2,0.1,3.1,N/A,100,66.3,N/A,0
N/A,fenugreek,100,22.8,57.9,6.5,24.4,N/A,100,331.4,N/A,0
N/A,jaggery,100,0,98.7,0,0,N/A,100,371.9,N/A,0
N/A,arrowroot,100,4.3,13.5,0.2,1.3,N/A,100,64.7,N/A,0
N/A,millet,100,3.5,23.6,1,1.3,N/A,100,122.2,N/A,0
N/A,cumin,100,17.8,44.5,22.4,10.5,N/A,100,379.3,N/A,0
N/A,pomegranate seeds,100,1.7,18.8,1.2,3.9,N/A,100,81.5,N/A,0
N/A,chickpeas,100,8.9,27.8,2.6,7.5,N/A,100,166.1,N/A,0
N/A,amaranth flour,100,14.6,65.8,9.3,6.5,N/A,100,404.9,N/A,0
N/A,buckwheat flour,100,12.6,70.3,3.1,10.1,N/A,100,341.3,N/A,0
N/A,water chestnut,100,0.9,6.9,0.1,1.6,N/A,100,31,N/A,0
N/A,chestnut flour,100,5,79.7,3.8,0,N/A,100,379.2,N/A,0
N/A,black rice,100,2.7,28.5,0.3,0.4,N/A,100,131.1,N/A,0
N/A,salt,100,0,0,0,0,N/A,100,0,N/A,0
N/A,milk,100,3.5,4.9,1.9,0,N/A,100,51.3,N/A,0
N/A,tomato,100,0.9,3.9,0.2,1.2,N/A,100,18.2,N/A,0
N/A,garlic,100,6.4,32.5,0.7,2,N/A,100,144.8,N/A,0
N/A,spinach,100,2.9,3.8,0.3,2.4,N/A,100,23.3,N/A,0
N/A,sherbet,100,1.1,29.9,2,1.3,N/A,100,144.6,N/A,0
N/A,prickly pear,100,0.7,9.7,0.5,3.7,N/A,100,40.9,N/A,0
N/A,banana,100,1.1,23.2,0.3,2.6,N/A,100,89.4,N/A,0
N/A,amaranth,100,3.8,18.6,1.6,2.1,N/A,100,100.7,N/A,0
N/A,musli,100,11.2,75.6,3.3,9.1,N/A,100,352.8,N/A,0
N/A,drumsticks,100,24,0,8.8,0,N/A,100,180.4,N/A,0
N/A,jackfruit,100,1.7,23.4,0.6,1.5,N/A,100,94.9,N/A,0
N/A,ginger,100,2,18.3,1,2,N/A,100,78.3,N/A,0
N/A,rose,100,0.4,3.8,0,0,N/A,100,85.4,N/A,0
N/A,saffron,100,11.5,65.5,5.8,4.3,N/A,100,301.8,N/A,0
N/A,dates,100,2.4,75.8,0.4,8.1,N/A,100,276.5,N/A,0
N/A,nuts,100,20.1,21.4,53.8,6.9,N/A,100,613.2,N/A,0
N/A,hemp seeds,100,31.3,8.5,48.4,4,N/A,100,565.8,N/A,0
N/A,morel mushrooms,100,3.1,5.1,0.5,2.8,N/A,100,30.9,N/A,0
N/A,dahi vada,100,5.3,10.9,7,3.4,N/A,100,122.5,N/A,0
N/A,chicken tikka,100,13.1,4.5,4.8,0.9,N/A,100,115.7,N/A,0
N/A,tikka,100,13.1,4.4,4.8,0.9,N/A,100,116.7,N/A,0
N/A,basmati rice,100,2.7,27.7,0.3,0.4,N/A,100,126.4,N/A,0
N/A,whole wheat flour,100,13.3,71.5,2.5,10.9,N/A,100,332.1,N/A,0
N/A,ghee,100,0.3,0,98.2,0,N/A,100,893.6,N/A,0
N/A,yogurt,100,5.3,7.2,1.6,0,N/A,100,64.2,N/A,0
N/A,cumin seeds,100,17.7,44.2,22.3,10.6,N/A,100,374.9,N/A,0
N/A,mustard seeds,100,25.9,28.2,36,11.8,N/A,100,519,N/A,0
N/A,turmeric,100,9.6,68,3.4,22.6,N/A,100,309.4,N/A,0
N/A,coriander,100,12.3,55.2,17.8,41,N/A,100,306.3,N/A,0
N/A,garam masala,100,10.8,57.4,13,24,N/A,100,318,N/A,0
N/A,cardamom,100,10.9,68.3,6.4,27.9,N/A,100,314.5,N/A,0
N/A,cinnamon sticks,100,3.8,81,1.5,52.2,N/A,100,242.5,N/A,0
N/A,cloves,100,6.2,64.5,12.8,33.6,N/A,100,269.5,N/A,0
N/A,black pepper,100,10.5,64.1,3,24.8,N/A,100,245.3,N/A,0
N/A,tamarind,100,2.8,63,0.6,5,N/A,100,232.2,N/A,0
N/A,mango,100,0.8,14.8,0.4,1.6,N/A,100,61.6,N/A,0
N/A,bay leaves,100,10.1,75.6,10.1,24.5,N/A,100,320.3,N/A,0
N/A,chili powder,100,13.2,50.5,14.4,34.5,N/A,100,279.5,N/A,0
N/A,green chilies,100,2,9.3,0.2,1.5,N/A,100,40.4,N/A,0
N/A,onions,100,1.4,10.2,0.2,1.4,N/A,100,44.5,N/A,0
N/A,tomatoes,100,0.9,3.9,0.2,1.2,N/A,100,18.5,N/A,0
N/A,potatoes,100,2.5,21,0.1,2.2,N/A,100,92.9,N/A,0
N/A,cauliflower,100,1.8,4.1,0.5,2.3,N/A,100,22.4,N/A,0
N/A,peas,100,5.4,15.9,0.2,5.4,N/A,100,82.4,N/A,0
N/A,eggplant,100,0.8,8.7,0.2,2.5,N/A,100,34.7,N/A,0
N/A,okra,100,1.9,4.6,0.2,2.5,N/A,100,22.5,N/A,0
N/A,lentils,100,8.9,19.7,0.4,8,N/A,100,116.2,N/A,0
N/A,kidney beans,100,8.8,22.4,0.5,6.3,N/A,100,128.1,N/A,0
N/A,cottage cheese,100,11.2,3.4,4.3,0,N/A,100,98.3,N/A,0
N/A,lamb,100,24.4,0,20.5,0,N/A,100,301.2,N/A,0
N/A,mint leaves,100,3.3,8.5,0.7,6.9,N/A,100,42.8,N/A,0
N/A,cilantro,100,2.3,3.8,0.5,2.8,N/A,100,22.9,N/A,0
N/A,nutmeg,100,5.9,49,36.4,20.7,N/A,100,527.5,N/A,0
N/A,star anise,100,20.2,50.6,14.9,15.2,N/A,100,340.1,N/A,0
N/A,fennel seeds,100,16.1,53,14.9,39.4,N/A,100,336.1,N/A,0
N/A,chilies,100,2,9.5,0.2,1.5,N/A,100,40.3,N/A,0
N/A,water,100,0,0,0,0,N/A,100,0,N/A,0